agency_name,agency_name_secondary,agency_address,agency_phone,agency_website,agency_wheelchair_access,available_beds,intake_open_appointments,populations_served,languages_spoken,last_updated,agency_hours_sunday_open,agency_hours_sunday_close,intake_hours_sunday_open,intake_hours_sunday_close,agency_hours_monday_open,agency_hours_monday_close,intake_hours_monday_open,intake_hours_monday_close,agency_hours_tuesday_open,agency_hours_tuesday_close,intake_hours_tuesday_open,intake_hours_tuesday_close,agency_hours_wednesday_open,agency_hours_wednesday_close,intake_hours_wednesday_open,intake_hours_wednesday_close,agency_hours_thursday_open,agency_hours_thursday_close,intake_hours_thursday_open,intake_hours_thursday_close,agency_hours_friday_open,agency_hours_friday_close,intake_hours_friday_open,intake_hours_friday_close,agency_hours_saturday_open,agency_hours_saturday_close,intake_hours_saturday_open,intake_hours_saturday_close
CENTER FOR INTEGRATED FAMILY AND HEALTH SERVICES,CIFHS The Family Center,"540 South Eremland Drive, Suites A-D,Covina, CA 91723",(626) 966-1577,https://www.cifhs.org,Yes,,,Adult; Youth; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,EnglishSpanish,Last Updated: 8/12/2025 8:47:13 AM,Closed,Closed,,,09:00,21:00,,,09:00,18:00,,,09:00,18:00,,,09:00,21:00,,,09:00,17:00,,,09:00,17:00,,
TAVARUA MEDICAL REHABILITATION SERVICES D.B.A. AZUSA MEDICAL AND MENTAL HEALTH SERVICES,,"474 South Citrus Avenue,Azusa, CA 91702",(626) 858-9500,http://www.americanhealthservices.org/,Yes,,,Adult; M; A; T,EnglishSpanish,Last Updated: 8/13/2025 6:59:33 PM,07:00,09:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,07:00,09:00,,
"TARZANA TREATMENT CENTERS, INC.",,",Northridge, CA 91324",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2,,,English,Last Updated: 8/14/2025 9:14:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.","Tarzana Treatment Center, Inc",",Northridge, CA 91324",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2,,,English,Last Updated: 8/14/2025 9:14:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,"Winnetka, CA 91306",(800) 996-1051,https://www.tarzanatc.org,No,RBHAdult - M: 2,,,Spanish,Last Updated: 8/14/2025 9:12:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,",Winnetka, CA 91306",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2,,,English,Last Updated: 8/14/2025 9:17:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,"6022 Variel Avenue,Woodland Hills, CA 91367",(800) 996-1051,https://www.tarzanatc.org,No,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,American Sign LanguageEnglishFarsi,Last Updated: 8/13/2025 11:07:47 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,Closed,Closed,,
"NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF EAST SAN GABRIEL AND POMONA VALLEYS, INC.",,"4626 North Grand Avenue,Covina, CA 91724",(626) 331-5316,https://www.ncaddesgpv.org,Yes,,,Adult; Youth,EnglishSpanish,Last Updated: 8/13/2025 9:17:00 AM,Closed,Closed,,,08:00,21:00,,,08:00,17:30,,,08:00,17:30,,,08:00,21:00,,,08:00,17:30,,,08:30,18:30,,
"TARZANA TREATMENT CENTERS, INC.",,",Woodland Hills, CA 91367",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2,,,English,Last Updated: 8/14/2025 9:17:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,",Woodland Hills, CA 91367",(800) 996-1051,https://www.tarzanatc.org,No,RBHAdult - M: 2,,,Spanish,Last Updated: 8/14/2025 9:17:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA DIVERSION PROGRAMS, INC.",,"21054 Sherman Way, Suite 205 ,Canoga Park, CA 91303",(818) 716-0188,https://www.cadip.com,Yes,,,,EnglishSpanish,Last Updated: 6/30/2017 8:26:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,",Canoga Park, CA 91304",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 1,,,English,Last Updated: 8/14/2025 9:13:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CENTER FOR COUNSELING AND EDUCATION, INC.",,"7120 Topanga Canyon Boulevard,Canoga Park, CA 91303",(818) 992-0460,,Yes,,,,EnglishSpanish,Last Updated: 6/30/2017 8:23:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUI PROGRAM OF SFV,,"7120 Topanga Canyon Boulevard,Canoga Park, CA 91303",(818) 992-0460,,Yes,,,,EnglishSpanish,Last Updated: 6/30/2017 8:24:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RANCHO SAN ANTONIO BOYS HOME, INC.",,"21000 Plummer Street,Chatsworth, CA 91311",(818) 882-6400,https://ranchosanantonio.org,No,,,Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/7/2025 2:06:33 PM,11:00,15:00,,,11:00,15:00,,,11:00,21:00,,,11:00,15:00,,,11:00,21:00,,,11:00,15:00,,,Closed,Closed,,
"ALT RECOVERY GROUP 2, LLC",,"20946 Devonshire Street, 100,Chatsworth, CA 91311",(818) 626-8053,http://www.altrecoverygroup.com,Yes,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled,English,Last Updated: 11/8/2022 6:13:47 AM,08:00,10:00,,,05:00,11:00,,,05:00,11:00,,,05:00,11:00,,,05:00,11:00,,,05:00,11:00,,,08:00,10:00,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Paseo House,",San Dimas, CA 91773",(877) 507-6242,https://www.socialmodelrecovery.org/,No,RBHAdult - M: 0,,,English,Last Updated: 8/13/2025 7:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAFETY CONSULTANT SERVICES, INC.",,"25044 Peachland Avenue, Suite 207,Newhall, CA 91321",(661) 255-7720,https://www.safetyconsultantservicesinc.com,No,,,,English,Last Updated: 5/7/2024 2:02:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILD & FAMILY CENTER,,"21545 Centre Pointe Parkway,Santa Clarita, CA 91350",(661) 481-2801,,Yes,,,Youth; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/14/2025 8:19:49 AM,Closed,Closed,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,15:00,,,Closed,Closed,,
"BEHAVIORAL HEALTH SERVICES, INC.",American Recovery Center,"2180 West Valley Boulevard, Floors 100, 300 and 400,Pomona, CA 91768",(909) 865-2336,http://bhs-inc.org/,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.3)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0R-WMAdult - M: 0Adult - F: 0,,Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 8:18:56 AM,Closed,Closed,,,07:00,19:00,,,07:00,21:00,,,07:00,21:00,,,07:00,21:00,,,07:00,19:00,,,07:00,16:00,,
"BEHAVIORAL HEALTH SERVICES, INC.",American Recovery Center Outpatient Program,"2180 West Valley Boulevard, Outpatient Office, Meeting Room, Ground Floor,Pomona, CA 91768",(909) 865-2336,http://bhs-inc.org/,Yes,,,Adult,EnglishSpanish,Last Updated: 8/13/2025 8:18:56 AM,Closed,Closed,,,09:00,18:00,,,09:00,21:00,,,09:00,18:00,,,09:00,21:00,,,08:00,17:00,,,08:00,17:00,,
"BEHAVIORAL HEALTH SERVICES, INC.",American Recovery Center,"2180 West Valley Boulevard, Floor 200,Pomona, CA 91768",(909) 865-2336,http://bhs-inc.org/,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.3)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0R-WMAdult - M: 0Adult - F: 0I-WMAdult - M: 0Adult - F: 0,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 8:18:56 AM,Closed,Closed,,,07:00,19:00,,,07:00,21:00,,,07:00,21:00,,,07:00,21:00,,,07:00,19:00,,,07:00,16:00,,
NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF THE SAN FERNANDO VALLEY,,"24460 Lyons Avenue,Santa Clarita, CA 91321",(661) 253-9400,https://www.ncadd.org/,Yes,,,Adult; Women; Perinatal; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,English,Last Updated: 8/14/2025 9:13:57 AM,Closed,Closed,,,09:30,19:30,,,09:30,19:30,,,09:30,19:30,,,09:30,19:30,,,09:00,17:30,,,09:00,17:30,,
REHABILITATION ALCOHOL PROGRAM,,"1025 Sentinel Drive, Suite 100,La Verne, CA 91750",(909) 596-5335,,No,,,,Spanish,Last Updated: 4/30/2025 11:41:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACTION FAMILY COUNSELING-SCV, INC.",Action Family Counseling,"22722 Soledad Canyon Road,Santa Clarita, CA 91350",(800) 367-8336,https://www.actiondrugrehab.com,No,,,Adult; Youth; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless,English,Last Updated: 8/14/2025 6:52:38 AM,Closed,Closed,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,21:00,,,09:00,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,",West Hills, CA 91307",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2Adult - F: 0,,,English,Last Updated: 8/14/2025 9:17:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",River Community,"23701 East Fork Road,Azusa, CA 91702",(877) 507-6242,https://www.socialmodelrecovery.org/,Yes,RS(3.3)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,M; A; T; Co-; Occurring; Mental; Health; Capabilities,English,Last Updated: 8/11/2025 8:53:50 AM,Closed,Closed,,,08:00,17:30,,,08:00,17:30,,,08:00,17:30,,,08:00,17:30,,,08:00,17:30,,,Closed,Closed,,
HEALTHRIGHT 360,Prototypes RBH Saticoy,",Pomona, CA 91766",(909) 621-9052,https://www.healthright360.org/,Yes,RBHAdult - F: 0,,Homeless,English,Last Updated: 8/14/2025 9:36:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NATIONAL COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE OF EAST SAN GABRIEL AND POMONA VALLEYS, INC.",,"656 North Park Avenue,Pomona, CA 91768",(909) 629-4084,https://www.ncaddesgpv.org,Yes,,,Adult; Youth,English,Last Updated: 8/13/2025 9:17:00 AM,Closed,Closed,,,09:00,19:00,,,09:00,19:00,,,09:00,21:00,,,09:00,21:00,,,09:00,19:00,,,09:00,19:00,,
"PHOENIX HOUSES OF LOS ANGELES, INC.",Phoenix House of Orange County,"1207 East Fruit Street,Santa Ana, CA 92701",(714) 953-9373,https://phoenixhouseca.org,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,Adult; M; A; T; L; G; B; T; Q; Veterans; Criminal; Justice,EnglishFarsiSpanish,Last Updated: 7/9/2020 9:55:21 AM,00:00,23:30,,,00:00,23:30,,,00:00,23:30,,,00:00,23:30,,,00:00,23:30,,,00:00,23:30,,,00:00,23:30,,
"AEGIS TREATMENT CENTERS, LLC",,"1050 North Garey Avenue,Pomona, CA 91767",(909) 623-6391,http://www.aegistreatmentcenters.com/,Yes,,,M; A; T; Perinatal; Homeless,EnglishSpanish,Last Updated: 8/14/2025 8:29:38 AM,06:00,10:00,,,05:00,09:00,,,05:00,09:00,,,05:00,09:00,,,05:00,09:00,,,05:00,09:00,,,06:00,10:00,,
HEALTHRIGHT 360,,",Pomona, CA 91767",(909) 624-1233,https://www.healthright360.org/,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/14/2025 9:36:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHRIGHT 360,,",Pomona, CA 91767",(909) 624-1233,https://www.healthright360.org/,Yes,RBHAdult - F: 0,,,English,Last Updated: 8/14/2025 9:36:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHRIGHT 360,,",Pomona, CA 91767",(909) 624-1233,https://www.healthright360.org/,Yes,RBHAdult - F: 0Youth - F: 0,,,English,Last Updated: 8/14/2025 9:36:16 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BEHAVIORAL HEALTH SERVICES, INC.",ARCH HOUSE,",Pomona, CA 91767",(909) 865-1831,http://bhs-inc.org/,Yes,RBHAdult - M: 0Adult - F: 0,,,EnglishSpanish,Last Updated: 8/13/2025 8:18:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHRIGHT 360,PROTOTYPES,"831 East Arrow Highway,Pomona, CA 91767",(909) 634-2950,https://www.healthright360.org/,Yes,,,Adult; Women; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/14/2025 8:24:54 AM,Closed,Closed,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,21:00,,,08:00,20:00,,
HEALTHRIGHT 360,Prototypes,"845 East Arrow Highway,Pomona, CA 91767",(909) 634-2950,https://www.healthright360.org/,Yes,RS(3.1)Adult - F: 0RS(3.3)Adult - F: 0RS(3.5)Adult - F: 0,,Adult; Women; M; A; T; Parent/; Guardian (; Female) with; Children; Perinatal; Physically; Disabled; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/14/2025 9:36:16 AM,Closed,Closed,,,09:00,15:00,,,09:00,15:00,,,09:00,15:00,,,09:00,15:00,,,Closed,Closed,,,Closed,Closed,,
"TARZANA TREATMENT CENTERS, INC.",,"320 East Palmdale Boulevard,Palmdale, CA 93550",(800) 996-1051,https://www.tarzanatc.org,No,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/13/2025 11:05:19 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,"1037 East Palmdale Boulevard,Palmdale, CA 93550",(800) 996-1051,https://www.tarzanatc.org,No,,,M; A; T; Perinatal; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Sexually-; Exploited,Spanish,Last Updated: 8/14/2025 9:17:53 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,08:00,,,08:30,21:00,,,08:30,08:00,,,08:30,17:00,,
AMERICAN HEALTH SERVICES LLC,,"2720 East Palmdale Boulevard, Suites 129, 130, 131,Palmdale, CA 93550",(661) 947-3333,http://www.americanhealthservices.org,Yes,,,Adult; M; A; T; Homeless,EnglishSpanish,Last Updated: 8/13/2025 6:59:33 PM,09:00,10:00,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,09:00,10:00,,
INLAND VALLEY DRUG AND ALCOHOL RECOVERY SERVICES,,"934 North Mountain Avenue, Suites A, B, C, & D,Upland, CA 91786",(909) 949-4667,https://www.inlandvalleyrecovery.org,No,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,EnglishSpanish,Last Updated: 8/14/2025 8:36:34 AM,Closed,Closed,,,09:00,22:00,,,09:00,22:00,,,09:00,22:00,,,09:00,22:00,,,09:00,22:00,,,09:00,22:00,,
INLAND VALLEY DRUG AND ALCOHOL RECOVERY SERVICES,,"1260 East Arrow Highway, Building B & C,Upland, CA 91786",(909) 932-1069,https://www.inlandvalleyrecovery.org,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 3R-WMAdult - M: 0Adult - F: 0,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Developmentally; Disabled/; Delayed; Co-; Occurring; Mental; Health; Capabilities; Criminal; Justice,English,Last Updated: 8/14/2025 8:35:19 AM,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,
PENNY LANE CENTERS,,"43520 Division Street,Lancaster, CA 93535",(818) 430-4445,https://www.pennylane.org,Yes,,,Adult; Youth; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 8/14/2025 8:30:20 AM,Closed,Closed,,,08:00,20:00,,,08:00,21:00,,,08:00,20:00,,,08:00,21:00,,,08:00,18:00,,,09:00,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,",Lancaster, CA 93536",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2,,,English,Last Updated: 8/14/2025 9:13:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.","Tarzana Treatment Center, Inc",",Lancaster, CA 93536",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2Adult - F: 0,,,English,Last Updated: 8/14/2025 9:13:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW DIRECTIONS ALCOHOL AND DRUG SERVICES, INC.",,"1331 West Avenue J, Suite 206,Lancaster, CA 93534",(661) 802-7167,,No,,,Perinatal,English,Last Updated: 8/13/2025 8:25:01 AM,Closed,Closed,,,09:00,19:00,,,09:00,21:00,,,09:00,19:00,,,09:00,21:00,,,09:00,19:00,,,09:00,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,"44421 10th Street, West,Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,No,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; Veterans; Homeless; Sexually-; Exploited,EnglishRussianSpanish,Last Updated: 8/13/2025 11:05:19 AM,Closed,Closed,,,08:00,20:00,,,08:30,21:00,,,08:00,20:00,,,08:30,21:00,,,08:30,17:00,,,09:00,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,"44443 North 10th Street, West, Suite A,Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,,,Youth; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 11:05:19 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,"44447 North 10th Street, West, Building A,Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 11:05:20 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,"44447 North 10th Street, West, Building C,Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,RS(3.1)Youth - M: 5Youth - F: 5RS(3.5)Youth - M: 5Youth - F: 5,,Youth; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 11:05:53 AM,Closed,Closed,,,08:30,18:00,,,08:30,19:00,,,08:30,18:00,,,08:30,19:00,,,08:30,18:00,,,08:30,14:00,,
"TARZANA TREATMENT CENTERS, INC.",,"44447 North 10th Street, Building B,Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.3)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 1Adult - F: 1R-WMAdult - M: 0Adult - F: 0,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,ArmenianEnglishSpanish,Last Updated: 8/13/2025 11:05:20 AM,Closed,Closed,,,08:30,18:00,,,08:30,19:00,,,08:30,18:00,,,08:30,19:00,,,08:30,18:00,,,08:30,14:00,,
"TARZANA TREATMENT CENTERS, INC.",,"44459 North 10th Street, West,Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 11:05:53 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,17:00,,
"TARZANA TREATMENT CENTERS, INC.",,",Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - F: 2,,,English,Last Updated: 8/14/2025 9:13:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,",Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - F: 2,,,English,Last Updated: 8/14/2025 9:13:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,",Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,RBHAdult - M: 2,,,English,Last Updated: 8/14/2025 9:13:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARZANA TREATMENT CENTERS, INC.",,"907 West Lancaster Boulevard,Lancaster, CA 93534",(800) 996-1051,https://www.tarzanatc.org,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; Veterans; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 8/13/2025 11:06:37 AM,Closed,Closed,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,21:00,,,08:30,20:00,,,08:30,17:00,,
ABC TRAFFIC SAFETY PROGRAM,,"44746 North Beech Avenue,Lancaster, CA 93534",(661) 945-8683,https://www.abctraffic.com,Yes,,,,EnglishSpanish,Last Updated: 6/30/2017 7:57:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HIGH ROAD PROGRAM, THE",,"44823 Date Avenue,Lancaster, CA 93534",(661) 942-2241,https://www.highroadprogram.org,Yes,,,,EnglishSpanish,Last Updated: 6/30/2017 7:53:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTERN PACIFIC MED-CORP,,"45335 Sierra Highway,Lancaster, CA 93534",(661) 949-8599,www.westpacmed.com,Yes,,,Adult; M; A; T,EnglishSpanish,Last Updated: 8/14/2025 5:26:23 AM,06:00,21:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,14:30,,,06:00,21:30,,
"TARZANA TREATMENT CENTERS, INC.",,",Lancaster, CA 93535",(800) 996-1051,https://www.tarzanatc.org,No,RBHAdult - M: 2,,,English,Last Updated: 8/14/2025 9:13:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Secondary Agency Name:,"426 San Pedro Street,Los Angeles, CA 90013",(213) 626-6411,,,,,,Spanish,Last Updated: 8/13/2025 8:42:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Secondary Agency Name:,"305 South Central Avenue,Los Angeles, CA 90013",(213) 372-5233,,,,,,Spanish,Last Updated: 8/13/2025 8:42:02 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,",Los Angeles, CA 90013",(213) 992-9686,,,RBHAdult - F: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Secondary Agency Name:,",Los Angeles, CA 90013",(213) 626-6411,,,RBHAdult - M: 0,,,English,Last Updated: 8/13/2025 8:42:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADAPT PROGRAM, INC.",,"1644 Wilshire Boulevard, Suite 101,Los Angeles, CA 90017",(213) 483-5703,,,,,,"English, Spanish",Last Updated: 5/17/2023 11:18:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADDICTION RESEARCH AND TREATMENT, INC.",,"1926 West Beverly Boulevard,Los Angeles, CA 90057",(213) 353-1140,,,,,,"Armenian, English, Korean, Russian, Spanish, Tagalog",Last Updated: 11/20/2019 9:09:33 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAART BEHAVIORAL HEALTH SERVICES, INC.",,"1926 West Beverly Boulevard,Los Angeles, CA 90057",(213) 353-1140,,,,,,"Armenian, English, Korean, Russian, Spanish, Tagalog",Last Updated: 11/20/2022 11:09:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
